"ID","species","latitude","longitude","reference","trees","elevation","LL","UL"
184,"Pinus roxburghii",29.403563,79.557483,"GBIF2023",0.989199995994568,2003,1000,2300
185,"Mallotus philippensis",30.694283,76.979317,"GBIF2023",0.998000025749207,592,300,2000
187,"Mallotus philippensis",31.624727,76.921271,"GBIF2023",0.680599987506866,854,300,2000
189,"Mallotus philippensis",30.359068,78.14019,"GBIF2023",0.938700020313263,959,300,2000
190,"Mallotus philippensis",31.745074,76.529494,"GBIF2023",0.883099973201752,713,300,2000
191,"Mallotus philippensis",30.225417,78.116032,"GBIF2023",0.958599984645844,591,300,2000
194,"Cedrus deodara",31.026122,77.484714,"GBIF2023",0.964999973773956,2460,1500,2500
196,"Mallotus philippensis",31.588337,76.395114,"GBIF2023",0.987800002098083,742,300,2000
199,"Mallotus philippensis",31.990148,75.939065,"GBIF2023",0.916400015354156,508,300,2000
200,"Cedrus deodara",31.1837,77.185275,"GBIF2023",0.924700021743774,1971,1500,2500
206,"Cedrus deodara",30.344444,79.1975,"GBIF2023",0.565199971199036,1795,1500,2500
216,"Cedrus deodara",29.534722,79.774722,"GBIF2023",0.754100024700165,1738,1500,2500
220,"Cedrus deodara",30.900412,77.027232,"GBIF2023",0.948199987411499,1537,1500,2500
222,"Cedrus deodara",29.375434,79.530066,"GBIF2023",0.69379997253418,1594,1500,2500
225,"Cedrus deodara",32.847497,76.155454,"GBIF2023",0.843500018119812,1718,1500,2500
226,"Mallotus philippensis",31.081683,77.171145,"GBIF2023",0.532599985599518,1932,300,2000
227,"Mallotus philippensis",31.335992,77.424118,"GBIF2023",0.558799982070923,1034,300,2000
228,"Mallotus philippensis",30.125867,78.421208,"GBIF2023",0.790700018405914,498,300,2000
232,"Cedrus deodara",32.255909,76.32794,"GBIF2023",0.892599999904633,2167,1500,2500
234,"Cedrus deodara",32.245691,77.17229,"GBIF2023",0.915499985218048,2224,1500,2500
240,"Cedrus deodara",29.632435,79.843708,"GBIF2023",0.925700008869171,1913,1500,2500
242,"Cedrus deodara",31.031406,78.718528,"GBIF2023",0.622699975967407,2493,1500,2500
249,"Taxus wallichiana",30.114056,80.00298,"GBIF2023",0.908399999141693,2527,2000,3500
251,"Taxus wallichiana",30.135358,80.385242,"GBIF2023",0.73470002412796,2909,2000,3500
259,"Mallotus philippensis",29.530014,78.77466,"GBIF2023",0.964100003242493,384,300,2000
264,"Lyonia ovalifolia",30.048906,80.227018,"GBIF2023",0.695200026035309,2629,1500,3000
265,"Cedrus deodara",30.078234,80.237663,"GBIF2023",0.603799998760223,2158,1500,2500
267,"Taxus wallichiana",30.013348,80.204377,"GBIF2023",1,2342,2000,3500
269,"Rhododendron arboreum",29.5067,79.619053,"GBIF2023",0.927900016307831,1723,1500,3000
274,"Lyonia ovalifolia",29.410374,79.670868,"GBIF2023",0.754899978637695,2005,1500,3000
282,"Quercus leucotrichophora",30.07692,80.233144,"GBIF2023",0.933399975299835,2317,1500,2500
289,"Pinus roxburghii",29.519994,79.629156,"GBIF2023",0.670400023460388,1445,1000,2300
293,"Cedrus deodara",30.46288,78.16841,"GBIF2023",0.716899991035461,1885,1500,2500
311,"Lyonia ovalifolia",30.067158,79.910892,"GBIF2023",0.835399985313416,2999,1500,3000
313,"Cedrus deodara",29.460415,79.655824,"GBIF2023",0.955600023269653,2255,1500,2500
315,"Mallotus philippensis",30.341269,77.998552,"GBIF2023",0.762000024318695,666,300,2000
319,"Pinus roxburghii",30.001774,79.57106,"GBIF2023",0.634100019931793,1931,1000,2300
320,"Pinus roxburghii",29.383186,80.003433,"GBIF2023",0.613499999046326,1807,1000,2300
323,"Pinus roxburghii",29.781437,79.489723,"GBIF2023",0.61080002784729,1367,1000,2300
327,"Cedrus deodara",30.835335,77.341034,"GBIF2023",0.745000004768372,1912,1500,2500
328,"Taxus wallichiana",30.110556,79.702499,"GBIF2023",0.6632000207901,2759,2000,3500
329,"Pinus roxburghii",29.643717,80.202499,"GBIF2023",0.726100027561188,1374,1000,2300
332,"Mallotus philippensis",30.570501,78.004555,"GBIF2023",0.602400004863739,889,300,2000
336,"Lyonia ovalifolia",30.135328,79.400047,"GBIF2023",0.72869998216629,1548,1500,3000
337,"Cedrus deodara",30.116581,79.700722,"GBIF2023",0.6632000207901,2464,1500,2500
341,"Mallotus philippensis",32.294319,75.624168,"GBIF2023",0.739400029182434,327,300,2000
348,"Cedrus deodara",29.844527,79.603884,"GBIF2023",0.866400003433228,1670,1500,2500
357,"Mallotus philippensis",29.364986,79.197478,"GBIF2023",0.770600020885468,422,300,2000
364,"Cedrus deodara",30.465919,78.09558,"GBIF2023",0.894900023937225,2098,1500,2500
374,"Cedrus deodara",31.64177,77.388059,"GBIF2023",0.634899973869324,1501,1500,2500
379,"Cedrus deodara",30.97659,77.19867,"Field",0.912599980831146,2062,1500,2500
414,"Quercus leucotrichophora",30.9611,77.19854,"Field",0.869400024414062,2052,1500,2500
452,"Rhododendron arboreum",30.95169,77.20101,"Field",0.914600014686584,1936,1500,3000
460,"Lyonia ovalifolia",30.95179,77.20097,"Field",0.914600014686584,1971,1500,3000
463,"Quercus leucotrichophora",30.95178,77.20092,"Field",0.914600014686584,1971,1500,2500
488,"Pinus roxburghii",30.95394,77.19647,"Field",0.994099974632263,2016,1000,2300
499,"Quercus semecarpifolia",30.86246,77.4564,"Field",0.692099988460541,3216,2500,3500
503,"Quercus semecarpifolia",30.839,77.4391,"Field",0.993600010871887,2831,2500,3500
507,"Quercus semecarpifolia",30.82598,77.42169,"Field",0.799899995326996,2519,2500,3500
511,"Pinus roxburghii",30.897028,77.0018,"Field",0.85180002450943,1494,1000,2300
593,"Cedrus deodara",32.54456667,75.94546667,"Barman2023",0.651199996471405,1613,1500,2500
597,"Cedrus deodara",32.47578333,76.04516667,"Barman2023",0.728999972343445,2186,1500,2500
601,"Cedrus deodara",29.35524444,80.00915833,"Joshi2023",0.539499998092651,1994,1500,2500
603,"Cedrus deodara",32.96,76.42,"Paul2019",0.618099987506866,2335,1500,2500
607,"Cedrus deodara",31.7625,77.38,"Sharma2013",0.606899976730347,2077,1500,2500
608,"Cedrus deodara",31.78694444,77.31333333,"Sharma2013",0.532800018787384,2063,1500,2500
615,"Cedrus deodara",31.99444444,77.43666667,"Sharma2013",0.592599987983704,2261,1500,2500
621,"Cedrus deodara",32.05,77.26111111,"Sharma2013",0.8125,2372,1500,2500
628,"Cedrus deodara",29.50275556,79.32799444,"Shekhar2022",0.965200006961823,2382,1500,2500
633,"Cedrus deodara",30.45333333,78.49172222,"Tiwari2023",0.97759997844696,2138,1500,2500
639,"Lyonia ovalifolia",32.54755,76.051,"Barman2023",0.870500028133392,1882,1500,3000
642,"Lyonia ovalifolia",31.75,77.38,"Paul2019",0.973800003528595,2352,1500,3000
643,"Lyonia ovalifolia",32.7,76.35,"Paul2019",0.950900018215179,2476,1500,3000
644,"Lyonia ovalifolia",31.88916667,77.33972222,"Sharma2013",0.778199970722198,2276,1500,3000
645,"Lyonia ovalifolia",30.78122222,77.91633333,"Shekhar2022",0.790600001811981,2703,1500,3000
646,"Lyonia ovalifolia",31.07233611,77.94200556,"Shekhar2022",0.986500024795532,2708,1500,3000
647,"Lyonia ovalifolia",30.05176389,79.10280833,"Shekhar2022",0.888700008392334,2525,1500,3000
648,"Lyonia ovalifolia",30.04969167,78.99333056,"Shekhar2022",1,2389,1500,3000
650,"Lyonia ovalifolia",30.60022222,79.21583333,"Tiwari2018",0.989400029182434,2874,1500,3000
652,"Lyonia ovalifolia",30.65377778,78.85105556,"Tiwari2023",0.84579998254776,2508,1500,3000
655,"Lyonia ovalifolia",30.45675,78.59205556,"Tiwari2023",0.799600005149841,2016,1500,3000
656,"Lyonia ovalifolia",30.21,78.51394444,"Tiwari2023",0.898800015449524,1760,1500,3000
657,"Lyonia ovalifolia",30.63622222,78.47941667,"Tiwari2023",0.990499973297119,2458,1500,3000
658,"Lyonia ovalifolia",30.488,78.78369444,"Tiwari2023",0.998300015926361,2321,1500,3000
666,"Mallotus philippensis",32.22928333,76.17195,"Barman2023",0.501600027084351,815,300,2000
667,"Mallotus philippensis",29.285375,79.34796389,"Pandey2023",0.514400005340576,404,300,2000
670,"Mallotus philippensis",29.29842222,79.54558611,"Pandey2023",0.888300001621246,617,300,2000
672,"Mallotus philippensis",30.06902778,78.33080556,"Sharma2018",1,880,300,2000
673,"Mallotus philippensis",29.93358333,78.71938889,"Sharma2018",0.864499986171722,882,300,2000
713,"Pinus roxburghii",30.82308333,77.17085,"Amare2016",0.898899972438812,1181,1000,2300
716,"Pinus roxburghii",29.46306972,79.40130278,"Bargali2022",0.992900013923645,2083,1000,2300
727,"Pinus roxburghii",32.59623333,76.0627,"Barman2023",0.817700028419495,1188,1000,2300
728,"Pinus roxburghii",29.6689181,79.759524,"Fule2021",0.953700006008148,1777,1000,2300
731,"Pinus roxburghii",30.18,79.3,"Ginwal2010",0.769800007343292,1502,1000,2300
734,"Pinus roxburghii",30.48,78.14,"Ginwal2010",0.970499992370605,1892,1000,2300
744,"Pinus roxburghii",30.37,78.17,"Ginwal2010",0.965699970722198,1205,1000,2300
746,"Pinus roxburghii",30.17,79.11,"Ginwal2010",0.654699981212616,1945,1000,2300
750,"Pinus roxburghii",32.44,76.1,"Ginwal2010",0.828700006008148,2159,1000,2300
755,"Pinus roxburghii",32.2,77.21,"Ginwal2010",0.830600023269653,2058,1000,2300
762,"Pinus roxburghii",31.4,76.9,"Ginwal2010",0.678200006484985,1110,1000,2300
770,"Pinus roxburghii",31.06,77.9,"Ginwal2010",0.973100006580353,2261,1000,2300
776,"Pinus roxburghii",29.34866667,79.446,"Joshi2022",0.989799976348877,1569,1000,2300
785,"Pinus roxburghii",30.37325,78.90219,"KumarMunesh2021",0.961199998855591,1223,1000,2300
797,"Pinus roxburghii",30.34731,78.61769,"KumarMunesh2022",0.883199989795685,1481,1000,2300
800,"Pinus roxburghii",30.27683,78.83975,"KumarMunesh2022",0.940500020980835,1204,1000,2300
804,"Pinus roxburghii",29.88022,78.66936,"KumarMunesh2022",0.952300012111664,1505,1000,2300
805,"Pinus roxburghii",30.31563,78.40672,"KumarMunesh2022",0.883800029754639,1749,1000,2300
807,"Pinus roxburghii",29.555,79.76333333,"KumarShailendra2022",0.607100009918213,1708,1000,2300
812,"Pinus roxburghii",31.78333333,77.33055556,"Sharma2013",0.592499971389771,1421,1000,2300
821,"Pinus roxburghii",30.21,78.51394444,"Tiwari2023",0.898800015449524,1760,1000,2300
822,"Pinus roxburghii",30.45333333,78.49172222,"Tiwari2023",0.97759997844696,2138,1000,2300
900,"Quercus lanata",31.17666667,77.36055556,"Barman2022",0.751900017261505,2005,1500,3000
907,"Quercus lanata",31.21305556,77.13583333,"Barman2022",0.864199995994568,1529,1500,3000
911,"Quercus lanata",31.22916667,77.34777778,"Barman2022",0.76800000667572,2420,1500,3000
915,"Quercus lanata",31.16430556,77.05855556,"Barman2022",0.745599985122681,1716,1500,3000
925,"Quercus lanata",31.78553333,77.46276667,"Barman2022",0.783999979496002,2170,1500,3000
931,"Quercus lanata",31.88938333,77.32235,"Barman2022",0.789900004863739,2489,1500,3000
932,"Quercus lanata",32.22333333,77.22747222,"Barman2022",0.9375,2711,1500,3000
933,"Quercus lanata",32.15447222,77.19086111,"Barman2022",0.959800004959106,2081,1500,3000
934,"Quercus lanata",32.10252778,77.10369444,"Barman2022",0.607200026512146,1911,1500,3000
939,"Quercus lanata",32.08055556,76.86083333,"Barman2022",0.684599995613098,2088,1500,3000
946,"Quercus lanata",31.6,77.16333333,"Barman2022",0.702000021934509,1822,1500,3000
947,"Quercus lanata",31.59694444,77.14888889,"Barman2022",0.705699980258942,1644,1500,3000
951,"Quercus lanata",31.76333333,77.08361111,"Barman2022",0.767599999904633,2329,1500,3000
952,"Quercus lanata",31.74388889,76.84361111,"Barman2022",0.699299991130829,1635,1500,3000
956,"Quercus lanata",31.31763889,77.20280556,"Barman2022",0.705600023269653,1782,1500,3000
958,"Quercus lanata",31.04694444,77.25861111,"Barman2022",0.912000000476837,2222,1500,3000
973,"Quercus lanata",32.33916667,76.50972222,"Barman2022",0.509700000286102,2924,1500,3000
974,"Quercus lanata",32.24994444,76.31758333,"Barman2022",0.995700001716614,1951,1500,3000
984,"Quercus lanata",32.53975,76.06638333,"Barman2022",0.976300001144409,1957,1500,3000
989,"Quercus lanata",30.84891667,77.30155556,"Barman2022",0.640699982643127,1553,1500,3000
991,"Quercus lanata",30.824,77.40019444,"Barman2022",0.687099993228912,1850,1500,3000
993,"Quercus lanata",30.77880556,77.54913889,"Barman2022",0.936500012874603,2194,1500,3000
996,"Quercus lanata",30.70136111,77.43213889,"Barman2022",0.829800009727478,1534,1500,3000
999,"Quercus lanata",31.95666667,76.97361111,"Barman2022",0.61760002374649,2613,1500,3000
1003,"Quercus lanata",32.54456667,75.94546667,"Barman2023",0.651199996471405,1613,1500,3000
1016,"Quercus lanata",29.4,79.533,"Negi2021",0.817600011825562,2041,1500,3000
1017,"Quercus lanata",29.4063,79.43557778,"Shekhar2022",0.908100008964539,2490,1500,3000
1025,"Quercus leucotrichophora",29.53527778,79.75333333,"KumarShailendra2022",0.723699986934662,1822,1500,2500
1031,"Quercus leucotrichophora",31.77583333,77.39444444,"Sharma2013",0.54559999704361,1775,1500,2500
1033,"Quercus leucotrichophora",30.14288889,79.728,"Shekhar2022",0.625999987125397,2460,1500,2500
1034,"Quercus leucotrichophora",30.49469444,78.94639444,"Shekhar2022",0.971700012683868,2441,1500,2500
1035,"Quercus leucotrichophora",30.17533333,78.88613889,"Singh2016",0.996900022029877,2010,1500,2500
1041,"Quercus leucotrichophora",30.45675,78.59205556,"Tiwari2023",0.799600005149841,2016,1500,2500
1044,"Quercus leucotrichophora",30.45333333,78.49172222,"Tiwari2023",0.97759997844696,2138,1500,2500
1059,"Quercus leucotrichophora",30.475,79.26277778,"Dhyani2020",0.977299988269806,1782,1500,2500
1061,"Quercus leucotrichophora",30.45805556,78.02083333,"Dhyani2020",0.980099976062775,1876,1500,2500
1064,"Quercus leucotrichophora",29.65,79.31613889,"Dhyani2020",0.973100006580353,1652,1500,2500
1068,"Quercus leucotrichophora",29.70088889,79.75,"Dhyani2020",1,2156,1500,2500
1069,"Quercus leucotrichophora",29.80541667,79.45,"Dhyani2020",0.627799987792969,2148,1500,2500
1077,"Quercus leucotrichophora",29.88333333,80.36666667,"Dhyani2020",0.976300001144409,2048,1500,2500
1086,"Quercus leucotrichophora",29.86111111,80.23802778,"Dhyani2020",0.982500016689301,1807,1500,2500
1092,"Quercus leucotrichophora",29.41277778,79.54416667,"Dhyani2020",0.908800005912781,2101,1500,2500
1102,"Quercus leucotrichophora",30.10633333,79.24177778,"Dhyani2020",0.887000024318695,1744,1500,2500
1104,"Quercus leucotrichophora",30.31613889,78.60511111,"Dhyani2020",0.988499999046326,2049,1500,2500
1105,"Quercus leucotrichophora",30.10102778,79.01094444,"Dhyani2020",0.664799988269806,1879,1500,2500
1109,"Quercus leucotrichophora",30.53405556,78.82088889,"Dhyani2020",0.782400012016296,2011,1500,2500
1111,"Quercus leucotrichophora",30.54602778,79.54558333,"Dhyani2020",0.938000023365021,2264,1500,2500
1114,"Quercus leucotrichophora",29.84855556,78.68563889,"Dhyani2020",0.976000010967255,1566,1500,2500
1118,"Quercus leucotrichophora",30.19302778,79.18552778,"Dhyani2020",0.64300000667572,1778,1500,2500
1119,"Quercus leucotrichophora",30.39930556,79.42830556,"Dhyani2020",0.913100004196167,1938,1500,2500
1120,"Quercus leucotrichophora",30.77147222,78.25497222,"Dhyani2020",0.995400011539459,2165,1500,2500
1122,"Quercus leucotrichophora",29.39916667,79.47219444,"Dhyani2020",0.939499974250793,2252,1500,2500
1125,"Quercus leucotrichophora",30.04527778,79.41194444,"Dhyani2020",1,2465,1500,2500
1127,"Quercus leucotrichophora",30.57791667,78.44975,"Dhyani2020",0.941900014877319,2165,1500,2500
1134,"Quercus leucotrichophora",29.83786111,78.78902778,"Dhyani2020",0.943000018596649,1739,1500,2500
1135,"Quercus leucotrichophora",30.57161111,79.04608333,"Dhyani2020",0.644299983978271,1742,1500,2500
1146,"Quercus leucotrichophora",30.12008333,78.79513889,"Dhyani2020",0.923699975013733,1882,1500,2500
1157,"Quercus leucotrichophora",29.572,79.71722222,"Dhyani2020",0.764100015163422,1638,1500,2500
1165,"Quercus leucotrichophora",29.63001667,80.05683333,"Dhyani2020",0.891099989414215,1869,1500,2500
1166,"Quercus leucotrichophora",29.62935,80.20976667,"Dhyani2020",0.64029997587204,1863,1500,2500
1172,"Quercus semecarpifolia",30.49277778,79.31113889,"Ginwal2023",0.538500010967255,3008,2500,3500
1173,"Quercus semecarpifolia",30.52397222,79.56494444,"Ginwal2023",0.816100001335144,2915,2500,3500
1177,"Quercus semecarpifolia",30.84122222,78.66033333,"Ginwal2023",0.995999991893768,2776,2500,3500
1181,"Quercus semecarpifolia",30.06390833,80.21029444,"Ginwal2023",0.880200028419495,3094,2500,3500
1182,"Quercus semecarpifolia",30.03836667,78.99509167,"Ginwal2023",0.960500001907349,2511,2500,3500
1190,"Quercus semecarpifolia",30.03158333,80.64758333,"Ginwal2023",0.978600025177002,3159,2500,3500
1191,"Quercus semecarpifolia",32.0975,77.29333333,"Sharma2013",0.725099980831146,2905,2500,3500
1193,"Quercus semecarpifolia",32.05222222,77.24083333,"Sharma2013",0.611500024795532,3019,2500,3500
1195,"Quercus semecarpifolia",30.15909722,79.92506944,"Shekhar2022",0.959100008010864,2770,2500,3500
1200,"Quercus semecarpifolia",30.08943056,80.35141667,"Shekhar2022",0.77020001411438,3100,2500,3500
1226,"Quercus semecarpifolia",30.75844444,77.83272222,"Shekhar2022",0.757499992847443,2621,2500,3500
1227,"Quercus semecarpifolia",30.94284722,77.75567222,"Shekhar2022",0.982400000095367,2683,2500,3500
1229,"Quercus semecarpifolia",31.07233611,77.94200556,"Shekhar2022",0.986500024795532,2708,2500,3500
1234,"Quercus semecarpifolia",30.74791111,77.86611944,"Shekhar2022",0.855799973011017,2804,2500,3500
1245,"Quercus semecarpifolia",30.05176389,79.10280833,"Shekhar2022",0.888700008392334,2525,2500,3500
1265,"Quercus semecarpifolia",30.029925,80.648575,"Shekhar2022",0.978600025177002,2922,2500,3500
1272,"Quercus semecarpifolia",30.486475,79.20197778,"Shekhar2022",0.559400022029877,2954,2500,3500
1280,"Quercus semecarpifolia",30.58561111,78.141525,"Shekhar2022",0.919200003147125,2571,2500,3500
1281,"Quercus semecarpifolia",30.68152778,78.67266667,"Shekhar2022",0.870999991893768,2810,2500,3500
1287,"Quercus semecarpifolia",30.75648333,78.21083056,"Shekhar2022",0.992399990558624,2602,2500,3500
1292,"Quercus semecarpifolia",30.66483333,78.50488889,"Shekhar2022",0.998799979686737,2548,2500,3500
1294,"Quercus semecarpifolia",30.99516667,78.46011111,"Shekhar2022",0.849200010299683,3107,2500,3500
1304,"Quercus semecarpifolia",31.87336667,77.43493333,"Singh2021",0.727299988269806,3315,2500,3500
1328,"Quercus semecarpifolia",31.82373333,77.41655,"Singh2021",0.876800000667572,2855,2500,3500
1329,"Quercus semecarpifolia",31.6824,77.47943333,"Singh2021",0.667800009250641,2869,2500,3500
1342,"Quercus semecarpifolia",30.55441667,78.83991667,"Tiwari2023",0.991100013256073,2591,2500,3500
1344,"Quercus semecarpifolia",30.65377778,78.85105556,"Tiwari2023",0.84579998254776,2508,2500,3500
1356,"Rhododendron arboreum",32.54073333,75.95811667,"Barman2023",0.960300028324127,1820,1500,3000
1358,"Rhododendron arboreum",32.47578333,76.04516667,"Barman2023",0.728999972343445,2186,1500,3000
1363,"Rhododendron arboreum",30.3525,79.09361111,"Chauhan2021",0.78549998998642,2082,1500,3000
1365,"Rhododendron arboreum",30.30361111,78.41805556,"Chauhan2021",0.990599989891052,1930,1500,3000
1366,"Rhododendron arboreum",30.19305556,79.18138889,"Chauhan2021",0.645500004291534,1795,1500,3000
1380,"Rhododendron arboreum",29.70737,79.75372,"Mamgain2018",1,2307,1500,3000
1382,"Rhododendron arboreum",29.57097,79.83718,"Mamgain2018",0.635999977588654,1847,1500,3000
1385,"Rhododendron arboreum",29.60895,79.45012,"Mamgain2018",0.932299971580505,1909,1500,3000
1387,"Rhododendron arboreum",29.82306,79.44833,"Mamgain2018",0.841400027275085,2129,1500,3000
1396,"Rhododendron arboreum",29.38797,80.06937,"Mamgain2018",0.96969997882843,1817,1500,3000
1397,"Rhododendron arboreum",29.28702,79.95589,"Mamgain2018",0.998799979686737,1965,1500,3000
1399,"Rhododendron arboreum",29.8425,80.03315,"Mamgain2018",0.811200022697449,1909,1500,3000
1403,"Rhododendron arboreum",30.1466,80.60545,"Mamgain2018",0.52240002155304,2560,1500,3000
1408,"Rhododendron arboreum",29.90496,80.41612,"Mamgain2018",0.969600021839142,1933,1500,3000
1409,"Rhododendron arboreum",29.52769,80.23673,"Mamgain2018",0.971000015735626,2073,1500,3000
1410,"Rhododendron arboreum",29.86953,80.28475,"Mamgain2018",0.997300028800964,2261,1500,3000
1412,"Rhododendron arboreum",29.66079,80.03346,"Mamgain2018",0.757499992847443,1742,1500,3000
1415,"Rhododendron arboreum",29.96177,78.87662,"Mamgain2018",0.904600024223328,1778,1500,3000
1416,"Rhododendron arboreum",30.17002,78.86737,"Mamgain2018",0.757700026035309,1846,1500,3000
1419,"Rhododendron arboreum",29.76502,79.01488,"Mamgain2018",0.975099980831146,1868,1500,3000
1420,"Rhododendron arboreum",29.84031,78.68561,"Mamgain2018",0.809000015258789,1696,1500,3000
1422,"Rhododendron arboreum",30.05478,78.98725,"Mamgain2018",0.997699975967407,2301,1500,3000
1425,"Rhododendron arboreum",30.58258,78.11652,"Mamgain2018",0.963100016117096,1900,1500,3000
1426,"Rhododendron arboreum",30.57505,78.44003,"Mamgain2018",0.920499980449677,2573,1500,3000
1429,"Rhododendron arboreum",30.30288,78.61857,"Mamgain2018",0.939199984073639,2092,1500,3000
1438,"Rhododendron arboreum",31.0751,78.24067,"Mamgain2018",0.686200022697449,2227,1500,3000
1439,"Rhododendron arboreum",30.98882,78.4542,"Mamgain2018",0.91159999370575,2935,1500,3000
1440,"Rhododendron arboreum",30.85337,78.48447,"Mamgain2018",0.88239997625351,2470,1500,3000
1442,"Rhododendron arboreum",30.95075,78.12373,"Mamgain2018",0.98769998550415,1973,1500,3000
1449,"Rhododendron arboreum",30.61365,79.0251,"Mamgain2018",0.905700027942657,1921,1500,3000
1458,"Rhododendron arboreum",30.65461,79.58536,"Mamgain2018",0.736699998378754,2542,1500,3000
1461,"Rhododendron arboreum",30.52399,79.75243,"Mamgain2018",0.776300013065338,2505,1500,3000
1466,"Rhododendron arboreum",31.8375,77.37083333,"Sharma2013",0.708100020885468,2402,1500,3000
1468,"Rhododendron arboreum",30.15909722,79.92506944,"Shekhar2022",0.959100008010864,2770,1500,3000
1472,"Rhododendron arboreum",30.14288889,79.728,"Shekhar2022",0.625999987125397,2460,1500,3000
1473,"Rhododendron arboreum",30.4865,79.30883333,"Shekhar2022",0.968400001525879,2813,1500,3000
1477,"Rhododendron arboreum",31.07233611,77.94200556,"Shekhar2022",0.986500024795532,2708,1500,3000
1478,"Rhododendron arboreum",30.74791111,77.86611944,"Shekhar2022",0.855799973011017,2804,1500,3000
1479,"Rhododendron arboreum",29.4063,79.43557778,"Shekhar2022",0.908100008964539,2490,1500,3000
1480,"Rhododendron arboreum",29.50275556,79.32799444,"Shekhar2022",0.965200006961823,2382,1500,3000
1484,"Rhododendron arboreum",30.029925,80.648575,"Shekhar2022",0.978600025177002,2922,1500,3000
1489,"Rhododendron arboreum",30.68152778,78.67266667,"Shekhar2022",0.870999991893768,2810,1500,3000
1490,"Rhododendron arboreum",30.67439167,78.83944444,"Shekhar2022",0.947300016880035,2907,1500,3000
1491,"Rhododendron arboreum",30.75648333,78.21083056,"Shekhar2022",0.992399990558624,2602,1500,3000
1494,"Rhododendron arboreum",30.84122222,78.66033333,"Shekhar2022",0.995999991893768,2776,1500,3000
1497,"Rhododendron arboreum",31.6824,77.47943333,"Singh2021",0.667800009250641,2869,1500,3000
1501,"Rhododendron arboreum",30.60022222,79.21583333,"Tiwari2018",0.989400029182434,2874,1500,3000
1526,"Shorea robusta",29.23717944,79.65471611,"Bargali2022",0.960600018501282,1030,300,1500
1535,"Shorea robusta",29.50020278,80.01000833,"Joshi2023",0.560000002384186,803,300,1500
1539,"Shorea robusta",30.2442,78.0943,"Kaur2023",0.6182000041008,627,300,1500
1586,"Shorea robusta",30.2469,77.9759,"Kaur2023",0.921000003814697,711,300,1500
1627,"Shorea robusta",30.13087,78.25534,"Kaur2023",0.85699999332428,445,300,1500
1636,"Shorea robusta",30.06822,78.46564,"Kaur2023",0.851000010967255,510,300,1500
1643,"Shorea robusta",29.3492,79.3103,"Kaur2023",0.56580001115799,544,300,1500
1644,"Shorea robusta",29.8,78.6,"Kaur2023",0.995700001716614,730,300,1500
1650,"Shorea robusta",30.473484,77.816357,"Kaur2023",0.907800018787384,509,300,1500
1651,"Shorea robusta",30.476028,77.873709,"Kaur2023",1,750,300,1500
1657,"Shorea robusta",29.820924,78.653218,"Kaur2023",0.93120002746582,1039,300,1500
1672,"Shorea robusta",30.1186,78.0906,"Kaur2023",0.998399972915649,517,300,1500
